O:C,H:C,ScINT
0.023255814,0.976744186,235147.7572
0.681818182,2.090909091,176698.0278
0.111111111,1.925925926,107907.1926
0.173913043,1.869565217,492675.0491
0.127659574,1.872340426,318852.4668
0.048780488,2.219512195,288993.373
0,2.214285714,137565.1111
0.176470588,0.117647059,1228406
0.043478261,0.47826087,753859.9433
0.428571429,3,495991.0567
0.142857143,1.142857143,1173964
0.142857143,1.857142857,1214533
0.1875,2,1214555
0.12,2.04,827961.6392
0.038461538,2.038461538,390527.3608
2.5,1.1,470252.4383
0.857142857,0.285714286,399201.8362
0.433333333,0.133333333,347195.7255
0.576923077,0.423076923,250032.7027
1.533333333,1.066666667,214463.1969
0.481481481,0.481481481,197724.6059
1.3125,1.125,181334.7356
0.131578947,0.210526316,167037.1891
1.117647059,0.705882353,156575.5698
0.113636364,0.340909091,238711.5897
0.25,0.892857143,187239.4031
0.782608696,1.173913043,175801.1395
1.571428571,2,137010.5061
0.257142857,0.457142857,122837.0055
0.066666667,0.377777778,121345.0581
0.666666667,1.208333333,101203.7677
0.296296296,1.111111111,89019.53031
0.02173913,0.5,183749.8984
0.257142857,0.8,176043.4806
0.56,1.4,165206.3306
0.194444444,0.833333333,137993.0429
0.135135135,0.648648649,135103.1363
0.1,1.1,125951.7652
1.125,2.25,123061.8585
0.5,1.115384615,113910.4875
1.8,0.7,665955.6721
0.476190476,0.095238095,603522.3279
1.214285714,0.428571429,1224456
0.16,0.92,342298.002
0.857142857,2,280997.0377
0,0.703703704,244792.4413
0.5,1.5,220107.4893
0.076923077,0.961538462,156338.0298
0,2.2,1290041
0.076923077,0.538461538,1178887
0.555555556,0.37037037,230473.4031
1.4375,0.9375,217830.2907
0.27027027,0.081081081,213879.3181
3.25,1.375,198075.4276
1.055555556,0.611111111,165150.6557
0.125,0.25,158038.905
0.363636364,0.575757576,224374.6269
0.090909091,0.318181818,199965.6716
0.782608696,0.782608696,190342.9104
0.214285714,0.857142857,152086.5672
0.666666667,0.833333333,143402.6119
0.228571429,0.428571429,129320.5224
1.5,1.928571429,108432.0896
1.333333333,2.5,415226.6385
0,0.588235294,387806.0114
0.5,1.375,340146.3501
3.6,0.8,1433038
2.125,1.25,411252.2671
0.611111111,0.611111111,324426.5672
0.555555556,0.555555556,251638.5553
1.666666667,1.333333333,239160.6104
0.315789474,1,340013.134
0.307692308,0.384615385,323979.9944
0.388888889,1.333333333,266481.8384
1,2,253213.0332
0.088235294,0.264705882,348710.9983
1.230769231,1.615384615,324412.0656
1,1.642857143,203769.9965
0.277777778,1.055555556,195670.3523
0.028571429,0.314285714,161566.5872
0.45,1.5,558067.1707
0,1.083333333,402815.4014
0.133333333,0.766666667,384982.4279
0.076923077,1.269230769,314654.8317
0.666666667,2.533333333,257887.2074
0.16,1.56,250993.9959
0.5,2.5,230314.3613
0,1.296296296,128943.6037
0.020408163,0.428571429,255219.2812
0.5,1.178571429,207504.3721
0.947368421,1.789473684,159789.463
1.111111111,2.222222222,154796.0423
0.090909091,0.939393939,153408.981
0.125,0.55,125945.167
0.413793103,1.206896552,124280.6934
0.047619048,0.785714286,281003.8885
0.714285714,2.142857143,269949.167
0.290322581,1.483870968,256398.2181
0.590909091,2.136363636,190426.493
0.151515152,1.272727273,154409.4971
0,0.813953488,139788.7364
0.088235294,1.382352941,365402.2169
0.12195122,0.926829268,353302.8058
0.28,1.92,309744.9256
0.121212121,1.575757576,142773.0517
0.106382979,1.659574468,292883.0725
0.297297297,2.081081081,239464.1473
0.020408163,1.510204082,214412.5134
0.236842105,2.078947368,193044.9434
0.15,1.9,149204.5841
0.0625,1.666666667,146625.7394
0,1.895833333,799931.667
0.021276596,2.042553191,365645.333
3,5,1144937
0.020408163,1.918367347,826692.354
0.041666667,2.0625,355791.646
0.043478261,2.130434783,1151171
0.461538462,0.384615385,1186251
0.416666667,0.5,1201696
0.555555556,2.555555556,1251311
0.090909091,2,700667.2491
0.166666667,0.722222222,619058.7509
0.142857143,0.857142857,478884.7945
0.647058824,2.176470588,413664.6711
0.068965517,0.896551724,282620.5344
0.041666667,2.208333333,687080.3984
0,1.242424242,575972.6016
0.3125,2.0625,1215546
0.12,1.92,829363.026
0.038461538,1.923076923,324651.974
0.024390244,1.756097561,1205949
0.4,0.571428571,161824.7874
0.916666667,1.041666667,157883.1823
0.2,0.288888889,144963.4767
0.017857143,0.142857143,127883.1879
0.774193548,0.516129032,118467.1313
0.692307692,0.807692308,117591.219
0.106382979,0.191489362,104890.4915
1.733333333,1.733333333,101386.8425
0.333333333,0.611111111,95474.43481
0.361111111,0.388888889,87372.24654
1.125,1.8125,241675.1866
0.52,1.08,240278.2202
0.37037037,0.888888889,209544.9594
0.423076923,1.115384615,204306.3355
1.266666667,2.266666667,165540.518
1.0625,1.75,144236.7804
0.151515152,0.96969697,337080.3966
0.02,0.48,328653.3867
0.590909091,1.681818182,286074.8103
0.482758621,1.24137931,200474.1306
0.088235294,1,145033.2759
1,0.75,751453.742
1.181818182,1.272727273,451969.258
0.5625,0.5625,1165190
1.083333333,2.083333333,392146.8149
0.217391304,0.869565217,320847.394
0.272727273,1.136363636,263298.5757
0.642857143,1.5,237325.2153
1.076923077,2.153846154,305685.7046
0.25,0.958333333,266444.921
0.666666667,1.6,204836.8906
0.304347826,1.217391304,188355.7615
0.857142857,2.142857143,186393.7223
0.19047619,1.571428571,787582.507
0.25,1.9,453216.493
0.173913043,1.52173913,502274.5229
0.571428571,2.571428571,376129.0072
0.125,1.208333333,296903.4699
0.192307692,1.692307692,544944.8836
0.035714286,1.428571429,414295.6371
0.111111111,1.703703704,348111.4793
0.291666667,2.166666667,1187388
0.76,0.4,221304.1471
0.076923077,0.153846154,217064.604
1.058823529,1.411764706,210563.9714
0.131578947,0.315789474,189366.2561
0.392857143,0.392857143,187387.8027
0.310344828,0.448275862,154884.6393
1.4375,0.6875,133404.2879
0.025,0.2,127186.2914
0.176470588,1.411764706,1350000
0.428571429,2,1154397
0.12,0.48,251976.0487
0.6,0.733333333,250823.7192
0.15625,0.09375,250055.4995
1.636363636,1.363636364,226624.7999
0.4375,0.8125,220094.9328
0.941176471,1.294117647,720588.9132
0.227272727,0.909090909,541464.0868
0.434782609,0.782608696,328295.9905
0.222222222,1.277777778,304787.358
0.333333333,0.833333333,243334.9679
0,0.428571429,233436.5963
0.105263158,1.315789474,108882.0873
0.625,2.25,346883.7217
0.470588235,1.764705882,312061.4176
0.074074074,1.148148148,289292.988
0.333333333,1.777777778,279024.8727
0.35,1.9,368034.9878
0.066666667,1.033333333,295049.1463
0,1.064516129,252085.8496
0.285714286,1.523809524,230863.0163
0,1.739130435,1214516
0.185185185,1.851851852,1168241
0.266666667,1.533333333,269468.0725
0.193548387,1.548387097,227981.0526
0.179487179,0.871794872,210200.9012
0.15625,1.34375,167923.6522
0.391304348,1.913043478,162392.0496
0.571428571,2.238095238,149353.2719
0.074074074,2.037037037,1219347
0.054054054,1.675675676,356796.9328
0.214285714,2.25,344556.9008
0.083333333,1.861111111,286416.7488
0,1.684210526,159732.4176
0.152173913,1.652173913,253610.7962
0.263157895,1.894736842,219852.7596
0.324324324,2.108108108,211342.3302
0.083333333,1.520833333,190633.6186
0.297297297,2.081081081,158861.3489
0.205128205,1.897435897,135032.1465
1.125,0.625,1271249
0.5,0.416666667,1444556
0.615384615,0.538461538,385104.9676
0,0.083333333,377597.1873
0.25,1.5,206243.142
3,2,203151.7031
0.111111111,0.444444444,1210687
0.19047619,1.476190476,361781.1796
0.214285714,0.785714286,324903.6604
0.666666667,2.666666667,284211.2255
0,1.173913043,221900.9344
0.307692308,1.769230769,1258190
0.2,1.68,1188151
0.041666667,1.958333333,1250830
0.766666667,0.533333333,160059.0557
0.677419355,0.322580645,145429.0658
0.365853659,0.268292683,135153.2396
0.134615385,0.115384615,131495.7421
1.45,0.75,130450.7429
1.4,1.15,118259.0846
1.285714286,0.80952381,109376.5908
0.59375,0.375,103106.5952
0.255813953,0.162790698,86386.60675
0.733333333,0.5,81858.27656
1.083333333,0.625,155212.2852
0.588235294,0.470588235,146441.075
